50087.334039 1.12
50087.335151 -0.82
50088.130521 1.45
50088.131632 0.70
50088.133854 0.04
50088.134965 -0.80
50088.379225 0.32
50091.108484 2.47
50091.109595 -5.69
50092.364989 -7.04
50092.369201 -2.65
50092.370254 0.59
50092.371308 -1.26
50092.372361 -2.23
50092.373415 -1.76
50092.374468 -1.84
50092.375521 -0.42
50092.376574 -1.81
50093.037928 -3.74
50093.039039 1.56
50093.042373 -0.61
50093.043484 1.39
50093.108854 -1.21
50093.109965 0.64
50093.113299 2.88
50093.114410 0.48
50093.179410 1.70
50093.180521 -0.96
50093.183854 1.08
50093.184965 1.54
50094.180151 2.14
50094.181261 1.07
50094.182373 -0.37
50094.183484 -2.68
50094.250706 1.66
50094.251817 -0.97
50094.251817 3.40
50094.252928 -0.36
50094.320336 -2.85
50094.321447 -0.17
50094.322558 0.08
50094.323669 -5.27
50094.398299 1.71
50094.399410 -3.06
50133.414734 1.40
50133.415787 -1.37
50133.416840 -0.73
50133.417893 -0.27
50133.418947 0.38
50133.420000 -0.49
50135.357373 2.87
50135.358484 1.19
50136.537743 1.82
50136.677558 0.78
50136.678669 1.53
50136.749965 0.02
50136.751077 -1.18
50136.820521 1.90
50136.821632 2.07
50136.951447 -0.30
50136.952558 1.21
50137.019224 0.35
50137.020335 0.10
50137.085891 -0.60
50137.087002 0.40
50137.153669 -0.63
50137.223299 0.31
50137.224410 0.17
50137.398113 -0.15
50137.399224 1.11
50137.534595 0.99
50137.535706 -4.74
50137.675706 -1.09
50137.676817 1.94
50137.816076 -0.03
50137.884224 0.84
50137.885336 -0.30
50137.952187 1.90
50137.953298 0.05
50138.019595 -1.22
50138.020706 1.57
50138.086262 -0.13
50138.087373 0.25
50138.151817 -1.60
50138.152928 -0.19
50138.351261 0.79
50138.352373 -0.34
50138.678114 1.58
50138.679224 -0.22
50138.812187 -1.12
50138.885891 0.96
50138.887002 0.36
50138.952187 0.63
50138.953298 0.40
50139.018854 -0.26
50139.019965 -0.46
50139.084595 -2.87
50139.085706 0.62
50139.085706 1.22
50139.086817 0.34
50139.155521 -0.56
50139.156632 -0.70
50139.156632 0.79
